CustomerID,Date,Quantity,UnitPrice
17850,373,6,2.55
17850,373,6,3.39
17850,373,8,2.75
17850,373,6,3.39
17850,373,6,3.39
17850,373,2,7.65
17850,373,6,4.25
17850,373,6,1.85
17850,373,6,1.85
13047,373,32,1.69
13047,373,6,2.1
13047,373,6,2.1
13047,373,8,3.75
13047,373,6,1.65
13047,373,6,4.25
13047,373,3,4.95
13047,373,2,9.95
13047,373,3,5.95
13047,373,3,5.95
13047,373,4,7.95
13047,373,4,7.95
13047,373,6,4.25
13047,373,3,4.95
13047,373,3,4.95
13047,373,3,4.95
13047,373,3,5.95
12583,373,24,3.75
12583,373,24,3.75
12583,373,12,3.75
12583,373,12,0.85
12583,373,24,0.65
12583,373,48,0.85
12583,373,24,1.25
12583,373,18,2.95
12583,373,24,2.95
12583,373,24,1.95
12583,373,24,1.95
12583,373,24,1.95
12583,373,20,0.85
12583,373,24,1.65
12583,373,24,2.95
12583,373,12,3.75
12583,373,24,0.42
12583,373,24,0.42
12583,373,36,0.65
12583,373,3,18
13748,373,80,2.55
17850,373,6,1.85
17850,373,6,1.85
17850,373,6,2.55
17850,373,6,3.39
17850,373,8,2.75
17850,373,6,4.95
17850,373,6,1.06
17850,373,6,1.06
17850,373,6,1.06
17850,373,6,1.06
17850,373,2,4.95
17850,373,4,6.95
17850,373,6,2.1
17850,373,6,2.55
17850,373,6,3.39
17850,373,6,3.39
17850,373,2,7.65
17850,373,6,4.25
15100,373,32,10.95
17850,373,6,2.55
17850,373,6,3.39
17850,373,8,2.75
17850,373,6,4.95
17850,373,6,1.06
17850,373,6,1.06
17850,373,6,1.06
17850,373,6,1.06
17850,373,2,4.95
17850,373,4,6.95
17850,373,6,2.1
17850,373,6,2.55
17850,373,6,3.39
17850,373,6,3.39
17850,373,2,7.65
17850,373,6,4.25
15291,373,48,3.45
15291,373,64,2.55
17850,373,6,1.85
17850,373,6,1.85
14688,373,10,1.95
14688,373,10,1.95
14688,373,10,2.95
14688,373,10,0.85
14688,373,12,3.75
14688,373,6,3.75
14688,373,12,0.85
14688,373,10,1.65
14688,373,6,2.55
14688,373,6,2.55
14688,373,120,0.42
14688,373,24,0.55
14688,373,24,0.55
14688,373,24,0.55
14688,373,6,2.95
14688,373,48,1.25
14688,373,96,0.38
14688,373,10,1.95
14688,373,10,1.95
17809,373,24,1.45
15311,373,23,4.25
15311,373,5,4.95
15311,373,10,1.95
15311,373,2,2.1
15311,373,6,1.25
15311,373,24,1.25
15311,373,24,1.25
15311,373,1,1.25
15311,373,1,0.85
15311,373,1,2.55
15311,373,10,1.65
15311,373,3,1.69
15311,373,1,1.95
15311,373,2,2.1
15311,373,1,2.95
15311,373,1,2.95
15311,373,4,2.95
15311,373,1,2.95
15311,373,6,0.85
15311,373,3,1.25
15311,373,2,2.55
15311,373,1,0.85
15311,373,1,0.85
15311,373,1,1.45
15311,373,1,4.95
15311,373,2,2.95
15311,373,2,5.95
15311,373,2,5.95
15311,373,4,1.45
15311,373,1,2.95
15311,373,1,1.95
15311,373,2,1.65
15311,373,3,3.95
15311,373,36,1.06
15311,373,10,6.75
14527,373,-1,27.5
16098,373,12,0.85
16098,373,8,3.75
16098,373,12,1.65
16098,373,10,1.95
16098,373,10,2.1
16098,373,50,1.85
16098,373,8,2.95
16098,373,4,3.75
16098,373,12,5.95
16098,373,2,14.95
16098,373,2,14.95
16098,373,4,16.95
15311,373,-1,4.65
18074,373,3,6.45
18074,373,48,0.65
18074,373,12,1.65
18074,373,6,2.95
18074,373,12,2.95
18074,373,40,1.45
18074,373,40,2.55
18074,373,6,2.95
18074,373,2,12.75
18074,373,4,3.95
18074,373,3,5.95
18074,373,6,6.95
18074,373,8,10.95
17420,373,1,19.95
17420,373,12,1.45
17420,373,6,4.25
17420,373,10,1.95
17420,373,12,1.25
17420,373,2,8.5
17420,373,10,1.65
16029,373,36,4.95
16029,373,100,1.65
16029,373,100,1.65
16029,373,192,3.82
16029,373,192,3.37
16029,373,192,3.37
16029,373,432,1.45
16029,373,432,1.25
16250,373,3,5.95
16250,373,3,5.95
16250,373,2,7.95
16250,373,3,4.95
16250,373,3,4.25
16250,373,6,2.95
16250,373,12,1.65
16250,373,12,0.42
16250,373,12,0.85
16250,373,12,1.45
16250,373,12,0.85
16250,373,4,6.75
16250,373,12,1.65
16250,373,12,1.65
12431,373,6,8.5
12431,373,8,4.95
12431,373,12,1.25
12431,373,6,5.45
12431,373,4,6.35
12431,373,6,5.95
12431,373,3,5.95
12431,373,2,8.5
12431,373,4,3.75
12431,373,4,3.75
12431,373,2,8.5
12431,373,2,8.5
12431,373,24,1.65
12431,373,24,0.85
17511,373,2,8.5
17511,373,12,3.75
17511,373,12,1.45
17511,373,48,0.72
17511,373,48,0.72
17511,373,8,8.5
17511,373,144,0.64
17511,373,40,2.55
17511,373,288,0.1
17511,373,64,2.55
17511,373,100,0.72
17511,373,50,1.45
17511,373,12,4.25
17511,373,96,0.64
17511,373,96,0.64
17511,373,48,0.65
17511,373,144,0.32
17511,373,40,4.95
17511,373,24,4.25
17511,373,24,3.39
17511,373,24,3.75
17511,373,48,1.48
17511,373,96,1.25
17511,373,100,1.65
17548,373,-12,1.65
17548,373,-24,0.29
17548,373,-24,0.29
17548,373,-24,0.29
17548,373,-12,3.45
17548,373,-12,1.65
17548,373,-24,1.65
13705,373,6,1.95
